Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language
Standard,5.11.1.6.7,VII.A.1,Explores changes in matter,,,,PK,
Developmental Milestones,5.11.1.6.7.1,VII.A.1.a,Identifies Different States of Matter,,,,PK,
Developmental Milestones,5.11.1.6.7.2,VII.A.1.b,Observes and Describes Changes,,,,PK,
Developmental Milestones,5.11.1.6.7.3,VII.A.1.c,Conducts Simple Experiments,,,,PK,
Standard,5.11.1.6.8,VI.F.1,Connects math to the real world,,,,PK,
Developmental Milestones,5.11.1.6.8.1,VI.F.1.a,Recognizes Real-World Math Concepts,,,,PK,
Developmental Milestones,5.11.1.6.8.2,VI.F.1.b,Applies Math in Practical Situations,,,,PK,
Developmental Milestones,5.11.1.6.8.3,VI.F.1.c,Interprets Everyday Math Situations,,,,PK,
Standard,5.11.1.6.9,VII.B.2,Recognizes plants/animals grow and change,,,,PK,
Developmental Milestones,5.11.1.6.9.1,VII.B.2.a,Identifies Different Stages of Plant and Animal Life Cycle,,,,PK,
Developmental Milestones,5.11.1.6.9.2,VII.B.2.b,Understands Basic Differences in Growth Rates,,,,PK,
Developmental Milestones,5.11.1.6.9.3,VII.B.2.c,Grasps the Cause and Effect Relationship in Growth and Change,,,,PK,
Standard,5.11.1.6.10,VII.D.6,Makes observations,,,,PK,
Developmental Milestones,5.11.1.6.10.1,VII.D.6.a,"Demonstrates the ability to recognize and describe different objects, phenomena, or events in their environment.",,,,PK,
Developmental Milestones,5.11.1.6.10.2,VII.D.6.b,Shows proficiency in making comparisons and recognizing patterns or changes over time.,,,,PK,
Developmental Milestones,5.11.1.6.10.3,VII.D.6.c,Displays skills in recording or sharing observations verbally or through drawings or writings.,,,,PK,
Standard,5.11.2,SCI.2,Child engages in scientific talk,,,,,
Label,5.11.2.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.11.2.1.1,,Makes sounds or gestures when interacting with new phenomena.,,,,,
Label,5.11.2.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.11.2.2.1,,Uses gestures or babbling to “comment” on objects of interest.,,,,,
Label,5.11.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.11.2.3.1,,Participates in back-and-forth exchanges about observable phenomena.,,,,,
Label,5.11.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.11.2.4.1,,"Attempts to answer simple questions, such as “What is it doing?”",,,,,
Label,5.11.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.11.2.5.1,SCI.2.b,Child asks inquiry-based questions,,,,,
Developmental Milestones,5.11.2.5.2,SCI.2.a,Child uses appropriate and specific scientific vocabulary,,,,,
Developmental Milestones,5.11.2.5.3,SCI.2.c,Child articulates observations and hypothesis,,,,,
Label,5.11.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.11.2.6.1,VII.D.1,Engages in scientific talk,,,,PK,
Developmental Milestones,5.11.2.6.1.1,VII.D.1.a,Utilizes Scientific Vocabulary,,,,PK,
Developmental Milestones,5.11.2.6.1.2,VII.D.1.b,Asks and Answers Scientific Questions,,,,PK,
Developmental Milestones,5.11.2.6.1.3,VII.D.1.c,Interpret Observations Verbally,,,,PK,
Standard,5.11.2.6.2,VII.C.6,Notices effects of weather/seasons on daily life,,,,PK,
Developmental Milestones,5.11.2.6.2.1,VII.C.6.a,Identifying Different Weather Conditions,,,,PK,
Developmental Milestones,5.11.2.6.2.2,VII.C.6.b,Understanding Seasonal Changes,,,,PK,
Developmental Milestones,5.11.2.6.2.3,VII.C.6.c,Aligning Clothing to Weather/Seasonal Changes,,,,PK,
Standard,5.11.2.6.3,VII.C.5,Notices and describes changes in weather/seasons,,,,PK,
Developmental Milestones,5.11.2.6.3.1,VII.C.5.a,Identifying Different Weather Conditions,,,,PK,
Developmental Milestones,5.11.2.6.3.2,VII.C.5.b,Recognizing Seasonal Changes,,,,PK,
Developmental Milestones,5.11.2.6.3.3,VII.C.5.c,Expressive Language for Weather/Seasonal Descriptions,,,,PK,
Standard,5.11.2.6.4,VII.C.4,Demonstrates environmental awareness,,,,PK,
Developmental Milestones,5.11.2.6.4.1,VII.C.4.a,Recognizes and lists common elements in their environment,,,,PK,
Developmental Milestones,5.11.2.6.4.2,VII.C.4.b,Demonstrates understanding of the importance of conservation,,,,PK,
Developmental Milestones,5.11.2.6.4.3,VII.C.4.c,Connects actions to environmental consequences,,,,PK,
Standard,5.11.2.6.5,VII.C.7,Describes temperature,,,,PK,
Developmental Milestones,5.11.2.6.5.1,VII.C.7.a,Ability to Sense Temperature,,,,PK,
Developmental Milestones,5.11.2.6.5.2,VII.C.7.b,Understanding Relative Temperature,,,,PK,
Developmental Milestones,5.11.2.6.5.3,VII.C.7.c,Verbal Expression of Temperature Concepts,,,,PK,
Standard,5.11.3,SCI.3,Child compares and categorizes observable phenomena,,,,,
Label,5.11.3.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.11.3.1.1,,"Explores objects through touch and mouthing, noticing variations.",,,,,
Label,5.11.3.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.11.3.2.1,,Recognizes and points out differences between objects or materials.,,,,,
Label,5.11.3.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.11.3.3.1,,"Uses basic words to compare phenomena (e.g., “big,” “small”).",,,,,
Label,5.11.3.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.11.3.4.1,,"Compares objects using descriptive language (e.g., “This is bigger”).",,,,,
Label,5.11.3.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.11.3.5.1,SCI.3.b,"The child is able to differentiate between various objects and phenomena based on their observable characteristics such as size, color, shape, and texture. This skill builds the foundation for making comparisons and distinctions between different phenomena.",,,,,
Developmental Milestones,5.11.3.5.2,SCI.3.a,"Child sorts objects based on various criteria,",,,,,
Developmental Milestones,5.11.3.5.3,SCI.3.c,"The child develops the ability to group similar objects and phenomena together based on their common features. They can sort objects into categories, such as animals and plants, or round and square objects.",,,,,
Developmental Milestones,5.11.3.5.4,SCI.3.d,The child starts to analyze and reason out the differences and similarities of objects and phenomena through keen observation.,,,,,
Label,5.11.3.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.11.3.6.1,VII.B.3,Explores and categorizes living things,,,,PK,
Developmental Milestones,5.11.3.6.1.1,VII.B.3.a,Identifies Basic Characteristics of Living Things,,,,PK,
Developmental Milestones,5.11.3.6.1.2,VII.B.3.b,Groups Living Things Based on Similarities,,,,PK,
Developmental Milestones,5.11.3.6.1.3,VII.B.3.c,Interacts with Living Things in Their Environment,,,,PK,
Developmental Milestones,5.11.3.6.1.4,VII.B.3.d,"Child observes, investigates, describes, and discusses the characteristics of organisms.",,,,PK,
Standard,5.11.3.6.2,VII.B.1,Distinguishes between living and nonliving,,,,PK,
Developmental Milestones,5.11.3.6.2.1,VII.B.1.a,Identification of Characteristics,,,,PK,
Developmental Milestones,5.11.3.6.2.2,VII.B.1.b,Categorization Skills,,,,PK,
Developmental Milestones,5.11.3.6.2.3,VII.B.1.c,Understanding of Lifecycles,,,,PK,
Standard,5.11.4,SCI.4,"Child asks a question, gathers information, and makes predictions",,,,,
Label,5.11.4.1,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.11.4.1.1,,Reacts to changes or novel stimuli by turning head or vocalizing.,,,,,
Label,5.11.4.2,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.11.4.2.1,,Explores objects actively to learn more about them.,,,,,
Label,5.11.4.3,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.11.4.3.1,,Looks for familiar objects or phenomena during exploration.,,,,,
Label,5.11.4.4,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.11.4.4.1,,Gathers information by observing or interacting with phenomena.,,,,,
Label,5.11.4.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.11.4.5.1,SCI.4.a,Can formulate qQuestions,,,,,
Developmental Milestones,5.11.4.5.2,SCI.4.b,Understands the concept of gathering information to be analyzed later.,,,,,
Developmental Milestones,5.11.4.5.3,SCI.4.c,Can use the beginnings of predictive reasoning.,,,,,
Label,5.11.4.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.11.4.6.1,VII.D.3,Compares and categorizes,,,,PK,
Developmental Milestones,5.11.4.6.1.1,VII.D.3.a,Identifies Similarities and Differences between objects in the natural world.,,,,PK,
Developmental Milestones,5.11.4.6.1.2,VII.D.3.b,Grouping and Sorting,,,,PK,
Developmental Milestones,5.11.4.6.1.3,VII.D.3.c,Classifying Objects,,,,PK,
Standard,5.11.4.6.2,VII.D.2,Uses simple tools for investigating and to make work easier,,,,PK,
Developmental Milestones,5.11.4.6.2.1,VII.D.2.a,"Demonstrates proficiency in using basic investigation tools, such as magnifying glasses, rulers or simple software.",,,,PK,
Developmental Milestones,5.11.4.6.2.2,VII.D.2.b,"Showcases ability to select and utilize appropriate tools to simplify tasks, such as child-safe scissors for cutting or multi-colored markers for organizing information.",,,,PK,
Developmental Milestones,5.11.4.6.2.3,VII.D.2.c,"Exhibits understanding of the concept of tools as aid in different activities, both computer-based and hands-on, like puzzles, interactive games, and basic crafting materials.",,,,PK,
Standard,5.11.4.6.3,VI.E.2,Collects and organizes data,,,,PK,
Developmental Milestones,5.11.4.6.3.1,VI.E.2.a,Identifying Data,,,,PK,
Developmental Milestones,5.11.4.6.3.2,VI.E.2.b,Data Collection,,,,PK,
Developmental Milestones,5.11.4.6.3.3,VI.E.2.c,Data Representation,,,,PK,
Standard,5.11.4.6.4,VII.D.4,Gathers information and makes predictions,,,,PK,
Developmental Milestones,5.11.4.6.4.1,VII.D.4.a,Information Collection,,,,PK,
Developmental Milestones,5.11.4.6.4.2,VII.D.4.b,Critical Analysis,,,,PK,
Developmental Milestones,5.11.4.6.4.3,VII.D.4.c,Prediction Making,,,,PK,
Standard,5.11.5,SCI.5,Child plans and conducts investigations and experiments,,,,,
Label,5.11.5.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.11.5.1.1,,Reaches for or explores objects with curiosity.,,,,,
Label,5.11.5.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.11.5.2.1,,"Experiments with actions, such as dropping objects to see what happens.",,,,,
Label,5.11.5.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.11.5.3.1,,"Participates in guided exploration, like mixing colors or textures",,,,,
Label,5.11.5.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.11.5.4.1,,"Completes simple experiments, like pouring water to observe movement",,,,,
Label,5.11.5.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.11.5.5.1,SCI.5.a,Child formulates hypotheses or predictions',,,,,
Developmental Milestones,5.11.5.5.2,SCI.5.b,Child gathers and uses data',,,,,
Developmental Milestones,5.11.5.5.3,SCI.5.c,Child analyzes results and makes conclusions',,,,,
Developmental Milestones,5.11.5.5.4,SCI.5.d,Acquire scientific knowledge related to life science (properties of living things).,,,,,
Developmental Milestones,5.11.5.5.5,SCI.5.e,Acquire scientific knowledge related to earth science (properties of the earth and objects in the sky).,,,,,
Label,5.11.5.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.11.5.6.1,VII.C.1,Investigates earth materials,,,,PK,
Developmental Milestones,5.11.5.6.1.1,VII.C.1.a,Identifies Characteristics of Various Earth Materials,,,,PK,
Developmental Milestones,5.11.5.6.1.2,VII.C.1.b,Explores Properties of Earth Materials,,,,PK,
Developmental Milestones,5.11.5.6.1.3,VII.C.1.c,Understands Uses of Earth Materials,,,,PK,
Developmental Milestones,5.11.5.6.1.4,VII.C.1.d,Engage in play to explore the physical and natural world.,,,,PK,
Standard,5.11.5.6.2,VII.B.5,Investigates relationship between living things/environment,,,,PK,
Developmental Milestones,5.11.5.6.2.1,VII.B.5.a,Identification of Living Organisms,,,,PK,
Developmental Milestones,5.11.5.6.2.2,VII.B.5.b,Understanding Ecosystem Interactions,,,,PK,
Developmental Milestones,5.11.5.6.2.3,VII.B.5.c,Exploration of Environmental Effects,,,,PK,
Standard,5.11.5.6.3,VII.A.5,Investigates sources of energy,,,,PK,
Developmental Milestones,5.11.5.6.3.1,VII.A.5.a,Identifying Different Types of Energy,,,,PK,
Developmental Milestones,5.11.5.6.3.2,VII.A.5.b,Understanding the Uses of Energy,,,,PK,
Developmental Milestones,5.11.5.6.3.3,VII.A.5.c,Basic Knowledge of Energy Conservation,,,,PK,
Standard,5.11.5.6.4,VII.A.2,Investigates properties of materials,,,,PK,
Developmental Milestones,5.11.5.6.4.1,VII.A.2.a,Identifies and Differentiates Materials,,,,PK,
Developmental Milestones,5.11.5.6.4.2,VII.A.2.b,Engages in Experimentation,,,,PK,
Developmental Milestones,5.11.5.6.4.3,VII.A.2.c,Describes Material Properties,,,,PK,
Standard,5.11.5.6.5,VII.B.4,Investigates life cycles,,,,PK,
Developmental Milestones,5.11.5.6.5.1,VII.B.4.a,Recognizes the Stages of Life Cycles,,,,PK,
Developmental Milestones,5.11.5.6.5.2,VII.B.4.b,Tracks Life Cycle Progressions,,,,PK,
Developmental Milestones,5.11.5.6.5.3,VII.B.4.c,Compares Different Life Cycles,,,,PK,
Developmental Milestones,5.11.5.6.5.4,VII.B.4.d,"Child observes, describes, and discusses the life cycles of organisms.",,,,PK,
Standard,5.11.5.6.6,VI.F.3,Uses mathematical strategies to solve problems,,,,PK,
Developmental Milestones,5.11.5.6.6.1,VI.F.3.a,Recognizes and Applies Basic Number Concepts,,,,PK,
Developmental Milestones,5.11.5.6.6.2,VI.F.3.b,Identifies Geometric Shapes and Spatial Relations,,,,PK,
Developmental Milestones,5.11.5.6.6.3,VI.F.3.c,Utilizes Logical Thinking and Reasoning,,,,PK,
Standard,5.11.5.6.7,VII.A.3,Investigates position and motion of objects,,,,PK,
Developmental Milestones,5.11.5.6.7.1,VII.A.3.a,Understanding Basic Concepts of Position,,,,PK,
Developmental Milestones,5.11.5.6.7.2,VII.A.3.b,Recognizing Changes in Motion,,,,PK,
Developmental Milestones,5.11.5.6.7.3,VII.A.3.c,Experimenting with Object Manipulation,,,,PK,
Standard,5.11.5.6.8,VII.D.5,Plans and conducts experiments,,,,PK,
Developmental Milestones,5.11.5.6.8.1,VII.D.5.a,Identifies Hypotheses,,,,PK,
Developmental Milestones,5.11.5.6.8.2,VII.D.5.b,Implements Procedures,,,,PK,
Developmental Milestones,5.11.5.6.8.3,VII.D.5.c,Analyzes and Records Results,,,,PK,
Standard,5.11.6,SCI.6,"Child analyzes results, draws conclusions, and communicates results",,,,,
Label,5.11.6.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.11.6.1.1,,Shows interest in changes in objects or surroundings.,,,,,
Label,5.11.6.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.11.6.2.1,,Explores cause and effect through repeated actions.,,,,,
Label,5.11.6.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.11.6.3.1,,"Shows simple understanding of results (e.g., “It fell down”).",,,,,
Label,5.11.6.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.11.6.4.1,,Describes what happened after completing an experiment or activity.,,,,,
Label,5.11.6.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.11.6.5.1,SCI.6.c,Expressive Communication,,,,,
Developmental Milestones,5.11.6.5.2,SCI.6.b,Student uses critical thinking to analyze and interpret investigations.,,,,,
Developmental Milestones,5.11.6.5.3,SCI.6.a,Data Interpreting,,,,,
Label,5.11.6.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.11.6.6.1,VI.E.3,Understands graphs,,,,PK,
Developmental Milestones,5.11.6.6.1.1,VI.E.3.a,Identifies Different Types of Graphs,,,,PK,
Developmental Milestones,5.11.6.6.1.2,VI.E.3.b,Interprets Graph Data,,,,PK,
Developmental Milestones,5.11.6.6.1.3,VI.E.3.c,Constructs Basic Graphs,,,,PK,
Standard,5.11.6.6.2,VI.F.2,Communicates using mathematical language,,,,PK,
Developmental Milestones,5.11.6.6.2.1,VI.F.2.a,'Recognizes and uses basic mathematical terminology',,,,PK,
Developmental Milestones,5.11.6.6.2.2,VI.F.2.b,'Applies mathematical concepts in daily situations',,,,PK,
Developmental Milestones,5.11.6.6.2.3,VI.F.2.c,'Expresses mathematical reasoning verbally',,,,PK,
Standard,5.11.6.6.3,VII.D.7,Analyzes results and draws conclusions,,,,PK,
Developmental Milestones,5.11.6.6.3.1,VII.D.7.a,Interprets Data,,,,PK,
Developmental Milestones,5.11.6.6.3.2,VII.D.7.b,Logically Reasoning,,,,PK,
Developmental Milestones,5.11.6.6.3.3,VII.D.7.c,Formulates Conclusions,,,,PK,
Standard,5.11.6.6.4,VII.D.8,Uses engineering and process skills to solve problems,,,,PK,
Developmental Milestones,5.11.6.6.4.1,VII.D.8.a,Applying problem-solving methods,,,,PK,
Developmental Milestones,5.11.6.6.4.2,VII.D.8.b,Utilizing basic engineering principles,,,,PK,
Developmental Milestones,5.11.6.6.4.3,VII.D.8.c,Following sequential processes,,,,PK,
Cluster,5.12,FS,Forerunner Skills,,,,,
Standard,5.12.1,FS-1,Child demonstrates classification,,,,,
Label,5.12.1.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.12.1.1.1,,"Notices differences in textures, colors, or sizes of objects.",,,,,
Label,5.12.1.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.12.1.2.1,,"Recognizes and selects similar items during play (e.g., stacking all yellow rings).",,,,,
Label,5.12.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.12.1.3.1,,"Matches simple objects, like socks or blocks, by similarity.",,,,,
Label,5.12.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.12.1.4.1,,"Sorts objects by two attributes, like size and color.",,,,,
Label,5.12.1.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.12.1.5.1,FS-1.a,"Child can distinguish between different categories (i.e., color, size, shape).",,,,,
Developmental Milestones,5.12.1.5.2,FS-1.b,Child can group objects or pictures based on shared characteristics.,,,,,
Developmental Milestones,5.12.1.5.3,FS-1.c,Child can explain why they have grouped items in a particular way.,,,,,
Label,5.12.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.12.1.6.1,VII.A.4,Measures objects,,,,PK,
Developmental Milestones,5.12.1.6.1.1,VII.A.4.a,Identifies and Compares Object Sizes,,,,PK,
Developmental Milestones,5.12.1.6.1.2,VII.A.4.b,Understanding Measurement Units,,,,PK,
Developmental Milestones,5.12.1.6.1.3,VII.A.4.c,Applying Measurement in Practical Situations,,,,PK,
Standard,5.12.1.6.2,VI.E.1,Sorts and describes objects,,,,PK,
Developmental Milestones,5.12.1.6.2.1,VI.E.1.a,Categorization Skills,,,,PK,
Developmental Milestones,5.12.1.6.2.2,VI.E.1.b,Descriptive Language Abilities,,,,PK,
Developmental Milestones,5.12.1.6.2.3,VI.E.1.c,Observational Skills,,,,PK,
Developmental Milestones,5.12.1.6.2.4,VI.E.1.d,Sort and group up to 5 objects into a set based upon characteristics such as color size and shape and explain verbally what the objects have in common.,,,,PK,
Standard,5.12.2,FS-2,Child creates equal and unequal sets,,,,,
Label,5.12.2.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.12.2.1.1,,"Notices changes in quantity, such as more or fewer toys.",,,,,
Label,5.12.2.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.12.2.2.1,,"Pairs similar items (e.g., matching a spoon with a bowl).",,,,,
Label,5.12.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.12.2.3.1,,Recognizes when two groups differ in quantity.,,,,,
Label,5.12.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.12.2.4.1,,"Creates equal or unequal sets intentionally (e.g., “I have more cars than trucks!”).",,,,,
Label,5.12.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.12.2.5.1,FS-2.b,Child Gesturally or Verbally Segregates Objects into Equal or Unequal Sets,,,,,
Developmental Milestones,5.12.2.5.2,FS-2.a,Child Identifies Equal and Unequal Quantities,,,,,
Developmental Milestones,5.12.2.5.3,FS-2.c,Child Demonstrates Understanding of the Concept through Drawing or Other Creative Means,,,,,
Label,5.12.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.12.3,FS-3,Child demonstrates one-to-one correspondence,,,,,
Label,5.12.3.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.12.3.1.1,,Reaches for individual objects sequentially.,,,,,
Label,5.12.3.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.12.3.2.1,,"Matches simple objects, such as one spoon with one bowl.",,,,,
Label,5.12.3.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.12.3.3.1,,"Begins assigning one object to each space or person (e.g., “One toy for you and one for me”).",,,,,
Label,5.12.3.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.12.3.4.1,,"Uses one-to-one correspondence in simple play scenarios, like giving one plate to each doll.",,,,,
Label,5.12.3.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.12.3.5.1,FS-3.a,Child accurately counts objects individually,,,,,
Developmental Milestones,5.12.3.5.2,FS-3.b,Child matches objects to corresponding numbers,,,,,
Developmental Milestones,5.12.3.5.3,FS-3.c,Child demonstrates understanding of 'one more' or 'one less',,,,,
Label,5.12.3.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.12.4,FS-4,"Child recognizes, duplicates, and extends simple patterns",,,,,
Label,5.12.4.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.12.4.1.1,,"Notices repeating visual or auditory stimuli, such as alternating lights or sounds.",,,,,
Label,5.12.4.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.12.4.2.1,,"Mimics simple movements, like clapping hands or tapping.",,,,,
Label,5.12.4.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.12.4.3.1,,"Imitates simple patterns, such as stacking blocks in alternating colors",,,,,
Label,5.12.4.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.12.4.4.1,,"Extends simple patterns with help (e.g., adding to a red-blue-red sequence)",,,,,
Label,5.12.4.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.12.4.5.1,FS-4.a,Child identifies and recognizes simple patterns in various contexts.,,,,,
Developmental Milestones,5.12.4.5.2,FS-4.b,Child accurately duplicates given patterns using physical objects or drawings.,,,,,
Developmental Milestones,5.12.4.5.3,FS-4.c,Child successfully extends existing simple patterns by adding appropriate elements.,,,,,
Label,5.12.4.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.12.5,FS-5,Child identifies pattern core,,,,,
Label,5.12.5.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.12.5.1.1,,Notices changes or repetitions in visual or auditory stimuli.,,,,,
Label,5.12.5.2,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.12.5.2.1,,Attempts to mimic repeating movements or sounds.,,,,,
Label,5.12.5.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.12.5.3.1,,"Identifies simple repetitive elements, like alternating block colors.",,,,,
Label,5.12.5.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.12.5.4.1,,"Verbalizes recognition of pattern cores (e.g., “red, blue, red!”).",,,,,
Label,5.12.5.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.12.5.5.1,FS-5.a,Child recognizes repetitive sequences,,,,,
Developmental Milestones,5.12.5.5.2,FS-5.b,Child predicts next element in a pattern,,,,,
Developmental Milestones,5.12.5.5.3,FS-5.c,Child creates own pattern,,,,,
Label,5.12.5.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,5.12.6,FS-6,Child demonstrates order and sequence,,,,,
Label,5.12.6.1,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,5.12.6.1.1,,"Responds to predictable routines (e.g., quieting during feeding or diaper changes).",,,,,
Label,5.12.6.2,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,5.12.6.2.1,,"Attempts to repeat familiar order-based tasks, like putting objects back into a container.",,,,,
Label,5.12.6.3,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,5.12.6.3.1,,"Demonstrates emerging understanding of time-based sequences, such as “first snack, then nap.”",,,,,
Label,5.12.6.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,5.12.6.4.1,,"Follows simple multi-step directions in order, such as “Put your shoes away, then sit down.”",,,,,
Label,5.12.6.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,5.12.6.5.1,FS-6.a,Child Identifies Patterns,,,,,
Developmental Milestones,5.12.6.5.2,FS-6.b,Child Understands Temporal Order,,,,,
Developmental Milestones,5.12.6.5.3,FS-6.c,Child Applies Sequential Logic,,,,,
Label,5.12.6.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Domain,6,PMP,"Domain #5: Perceptual, Motor, and Physical Development",,,,,
Standard,6.1,PMP.1,"Child demonstrates control, strength, and coordination of large muscles",,,,,
Label,6.1.1,,Infants (INF 8-18) Learning Outcome,,,,,
Developmental Milestones,6.1.1.1,,Lifts head during tummy time and begins rolling over.,,,,,
Label,6.1.2,,Infants (INF 0-8) Learning Outcome,,,,,
Developmental Milestones,6.1.2.1,,"Crawls, pulls up to stand, and begins walking with support.",,,,,
Label,6.1.3,,Toddler (TOD 18-24) Learning Outcome,,,,,
Developmental Milestones,6.1.3.1,,Walks steadily and runs with increasing confidence,,,,,
Label,6.1.4,,Toddler (TOD 24-36) Learning Outcome,,,,,
Developmental Milestones,6.1.4.1,,Climbs stairs with alternating feet and jumps with both feet.,,,,,
Label,6.1.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,
Developmental Milestones,6.1.5.1,PMP.1.a,"Child can successfully execute a range of activities exercising large muscles such as jumping, running, climbing, and balancing.",,,,,
Developmental Milestones,6.1.5.2,PMP.1.b,"Child shows significant improvements in muscle strength and can effectively handle objects like balls, hoops, or bicycles.",,,,,
Developmental Milestones,6.1.5.3,PMP.1.c,"Child exhibits coordinated movements in relation to spatial awareness, including maneuvering around obstacles.",,,,,
Label,6.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,
Standard,6.1.6.1,X.A.1,Demonstrates coordination/balance,,,,PK,
Developmental Milestones,6.1.6.1.1,X.A.1.a,Exhibits Fine Motor Skills,,,,PK,
Developmental Milestones,6.1.6.1.2,X.A.1.b,Shows Gross Motor Skills,,,,PK,
