Item Type,Sequence,Human Code,Full Statement,Abbreviated Statement,Notes,Supp. Info,Ed. Level,Language,Rewritten Statement
Developmental Milestones,3.1.5.3,P-SE.1.c,Child exhibits effective communication skills with adults.,,,,,,- Uses simple words or gestures to get attention from adults.
Label,3.1.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,3.1.6.1,II.C.1,Communicates to build relationships,,,,PK,,Uses sounds or gestures to connect with others.
Developmental Milestones,3.1.6.2,II.C.1.a,Verbal Expression,,,,PK,,Uses simple words to express needs or feelings.
Developmental Milestones,3.1.6.3,II.C.1.b,Active Listening,,,,PK,,Listens closely and responds with sounds or gestures.
Developmental Milestones,3.1.6.4,II.C.1.c,Emotional Intelligence,,,,PK,,Shows feelings and notices how others feel.
Standard,3.1.6.5,II.C.2,Interacts positively with adults,,,,PK,,- Smiles and coos when an adult talks or plays.
Developmental Milestones,3.1.6.6,II.C.2.a,Demonstrates respectful behavior towards adults.,,,,PK,,- Greets adults with a smile or wave.
Developmental Milestones,3.1.6.7,II.C.2.b,Communicates effectively and expresses needs or feelings to adults.,,,,PK,,"Points, gestures, or uses simple words to show needs or feelings to adults."
Developmental Milestones,3.1.6.8,II.C.2.c,Shows active listening and responds appropriately when adults speak.,,,,PK,,Listens to adults and responds with gestures or sounds.
Standard,3.2,SE.2,Child engages in prosocial and cooperative behavior with adults,,,,,,- Shares toys and takes turns with grown-ups.
Label,3.2.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,3.2.1.1,,Reacts to soothing voices by calming or smiling,,,,,,- Calms down or smiles when hearing a soothing voice.
Label,3.2.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,3.2.2.1,,Attempts to mimic facial expressions during interactions,,,,,,- Copies facial expressions during playtime.
Label,3.2.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,3.2.3.1,,"Shares simple tasks with adults (e.g., stacking blocks)",,,,,,- Helps stack blocks with a grown-up.
Label,3.2.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,3.2.4.1,,Listens and follows basic directions in group settings,,,,,,- Follows simple directions during group activities.
Label,3.2.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,3.2.5.1,P-SE.2.b,Listens to and follows simple instructions given by adults.,,,,,,- Follows simple directions from grown-ups.
Developmental Milestones,3.2.5.2,P-SE.2.a,Initiates conversation with adults by asking questions or sharing information.,,,,,,- Asks simple questions to start chatting with grown-ups.
Developmental Milestones,3.2.5.3,P-SE.2.c,Respects personal boundaries and space of adults.,,,,,,- Gives adults personal space by not getting too close.
Label,3.2.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,3.2.6.1,II.C.3,Behaves cooperatively with adults,,,,PK,,- Plays nicely with grown-ups.
Developmental Milestones,3.2.6.2,II.C.3.a,Demonstrates respect for adult guidance,,,,PK,,Follows simple directions from adults.
Developmental Milestones,3.2.6.3,II.C.3.b,Shares and takes turns with adult assistance,,,,PK,,- Takes turns with a friend's help.
Developmental Milestones,3.2.6.4,II.C.3.c,Actively participates in adult-led activities,,,,PK,,- Joins in and plays along with grown-up games.
Standard,3.2.6.5,II.A.1,Respects personal boundaries,,,,PK,,- Keeps a comfortable distance from others during play.
Developmental Milestones,3.2.6.6,II.A.1.a,Demonstrates understanding of personal space,,,,PK,,Keeps a comfortable distance from others during play.
Developmental Milestones,3.2.6.7,II.A.1.b,Exhibits consent awareness,,,,PK,,- Nods or shakes head to show 'yes' or 'no' when asked.
Developmental Milestones,3.2.6.8,II.A.1.c,Shows sensitivity to personal feelings,,,,PK,,Responds to others' emotions with comforting actions.
Standard,3.3,SE.3,Child engages in and maintains positive interactions and relationships with other children,,,,,,- Plays and shares toys happily with other children.
Label,3.3.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,3.3.1.1,,Watches and tracks behavior of other infants,,,,,,- Follows other babies with their eyes.
Label,3.3.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,3.3.2.1,,Looks back and forth between adult and toy while playing,,,,,,- Glances between the adult and the toy during playtime.
Label,3.3.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,3.3.3.1,,Plays side-by-side with others using similar toys,,,,,,- Plays next to another child with the same toys.
Label,3.3.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,3.3.4.1,,Participates in simple group routines with peers,,,,,,- Joins in simple group activities with other children.
Label,3.3.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,3.3.5.1,P-SE.3.b,Shows Empathy and Understanding,,,,,,Shares a toy or comforts a friend who is upset.
Developmental Milestones,3.3.5.2,P-SE.3.a,Demonstrates Cooperative Play,,,,,,"- Plays together with others, sharing toys and taking turns."
Developmental Milestones,3.3.5.3,P-SE.3.c,Develops Conflict Resolution Skills,,,,,,• Uses simple words or gestures to solve small disagreements with peers.
Label,3.3.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,3.3.6.1,II.D.2,Initiates social interactions,,,,PK,,- Smiles or reaches out to start play with others.
Developmental Milestones,3.3.6.2,II.D.2.a,Expresses feelings and emotions appropriately,,,,PK,,"- Shows feelings by smiling, crying, or using simple words."
Developmental Milestones,3.3.6.3,II.D.2.b,Shows willingness to engage with peers,,,,PK,,Plays alongside other children.
Developmental Milestones,3.3.6.4,II.D.2.c,Understands simple social cues and norms,,,,PK,,- Responds to familiar gestures like waving or smiling.
Standard,3.3.6.5,II.D.6,Interacts with variety of peers,,,,PK,,Plays with different friends.
Developmental Milestones,3.3.6.6,II.D.6.a,Demonstrates Cooperative Play,,,,PK,,- Plays and shares toys with other children.
Developmental Milestones,3.3.6.7,II.D.6.b,Exhibits Effective Communication,,,,PK,,Uses gestures or sounds to express needs and feelings.
Developmental Milestones,3.3.6.8,II.D.6.c,Shows Empathy Towards Peers,,,,PK,,- Offers a toy or hugs a friend who is upset.
Standard,3.4,SE.4,Child engages in cooperative play with other children,,,,,,- Plays alongside and shares toys with other children.
Label,3.4.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,3.4.1.1,SE.4.A.1,Shows interest in another child’s actions,,,,,,- Watches and smiles at another child's play.
Label,3.4.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,3.4.2.1,,"Reaches out to touch another child’s face, hair, or toy",,,,,,"- Touches another child's face, hair, or toy."
Label,3.4.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,3.4.3.1,,Engages in simple turn-taking games,,,,,,- Takes turns in simple games with a caregiver.
Label,3.4.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,3.4.4.1,,Demonstrates sharing with minimal support,,,,,,- Shares toys with friends using little help.
Label,3.4.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,3.4.5.1,P-SE.4.a,Shares toys and materials with other children during play.,,,,,,- Gives toys to friends during play.
Developmental Milestones,3.4.5.2,P-SE.4.c,"Engages in group activities or games, cooperating with peers to achieve common goals.",,,,,,- Plays together with other children to reach a shared goal.
Developmental Milestones,3.4.5.3,P-SE.4.b,Works with other children to solve problems or complete tasks during play.,,,,,,- Joins in play to solve problems with friends.
Label,3.4.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,3.4.6.1,II.D.7,Plays cooperatively with peers,,,,PK,,- Shares toys and takes turns with friends.
Developmental Milestones,3.4.6.2,II.D.7.a,"""Shares and takes turns with fellow peers during play""",,,,PK,,- Takes turns and shares toys with friends during play.
Developmental Milestones,3.4.6.3,II.D.7.b,"""Engages positively in group play activities""",,,,PK,,- Joins in and plays happily with other children.
Developmental Milestones,3.4.6.4,II.D.7.c,"""Demonstrates respect for peers' ideas and contributions in cooperative play""",,,,PK,,- Shares toys and takes turns during play with other children.
Standard,3.4.6.5,II.D.3,Engages in pretend play with peers,,,,PK,,- Pretends and plays with friends.
Developmental Milestones,3.4.6.6,II.D.3.a,Demonstrates ability to initiate and actively participate in imaginative role-play scenarios.,,,,PK,,- Pretends to be different characters during play.
Developmental Milestones,3.4.6.7,II.D.3.b,Exhibits social interaction skills in the context of group pretend play.,,,,PK,,- Joins in group pretend play by sharing toys and taking turns.
Developmental Milestones,3.4.6.8,II.D.3.c,Shows creative problem-solving and critical thinking during play with peers.,,,,PK,,Figures out new ways to play with friends.
Standard,3.5,SE.5,Child uses basic problem-solving to resolve conflicts with other children,,,,,,- Finds ways to share toys with friends.
Label,3.5.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,3.5.1.1,,Responds to help from adults during frustration,,,,,,- Looks to adults for help when feeling frustrated.
Label,3.5.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,3.5.2.1,,Uses simple gestures to indicate wants or dislikes,,,,,,- Points or waves to show what they want or don't like.
Label,3.5.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,3.5.3.1,,Seeks help from adults to resolve disagreements,,,,,,Asks a grown-up for help when having a disagreement.
Label,3.5.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,3.5.4.1,,Initiates problem-solving strategies with peers,,,,,,- Tries to solve problems with friends.
Label,3.5.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,3.5.5.1,P-SE.5.b,Child Generates Possible Solutions',,,,,,- Tries different ways to solve a problem.
Developmental Milestones,3.5.5.2,P-SE.5.a,Child Identifies and Articulates the Conflict',,,,,,- Names the problem during a disagreement.
Developmental Milestones,3.5.5.3,P-SE.5.c,Child Actively Participates in Conflict Resolution',,,,,,- Uses words or gestures to solve simple disagreements.
Developmental Milestones,3.5.5.4,P-SE.5.a,'Child Identifies and Articulates the Conflict',,,,,,- Points to or names the problem during play.
Developmental Milestones,3.5.5.5,P-SE.5.b,'Child Generates Possible Solutions',,,,,,- Explores different ways to solve a simple problem.
Developmental Milestones,3.5.5.6,P-SE.5.c,'Child Actively Participates in Conflict Resolution',,,,,,- Uses words or gestures to solve a problem with a friend.
Label,3.5.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,3.5.6.1,II.D.4,Problem solves to resolve conflict,,,,PK,,- Uses simple words or gestures to ask for a toy or turn.
Developmental Milestones,3.5.6.2,II.D.4.b,Understanding Perspectives,,,,PK,,- Recognizes and responds to different emotions in others.
Developmental Milestones,3.5.6.3,II.D.4.a,Identifying Conflict,,,,PK,,- Points out when someone is upset or arguing.
Developmental Milestones,3.5.6.4,II.D.4.c,Implementing Solution Strategies,,,,PK,,- Tries different ways to solve simple problems.
Standard,3.6,SE.6,Child expresses a broad range of emotions and recognizes these emotions in self and others,,,,,,Shows and names different feelings in themselves and notices how others feel.
Label,3.6.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,3.6.1.1,,Shows distinct emotions like happiness and sadness,,,,,,- Smiles when happy and cries when sad.
Label,3.6.2,,Infants (INF 8-18) Learning Outcome,,,,,,
Developmental Milestones,3.6.2.1,,Uses gestures to communicate needs or frustrations,,,,,,- Points or waves to show what they want or how they feel.
Label,3.6.3,,Toddler (TOD 18-24) Learning Outcome,,,,,,
Developmental Milestones,3.6.3.1,,Names simple emotions with support,,,,,,"Says words like ""happy"" or ""sad"" with help."
Label,3.6.4,,Toddler (TOD 24-36) Learning Outcome,,,,,,
Developmental Milestones,3.6.4.1,,Identifies emotions in self and peers,,,,,,Recognizes and names feelings like happy or sad in themselves and friends.
Label,3.6.5,,Preschool Learning Outcome (BASE) (36-48) Learning Outcome,,,,,,
Developmental Milestones,3.6.5.1,P-SE.6.a,Skill to Identify and Express Emotions,,,,,,"- Names and shows feelings like happy, sad, or mad."
Developmental Milestones,3.6.5.2,P-SE.6.b,Emotional Recognition in Others,,,,,,- Smiles back when someone smiles at them.
Developmental Milestones,3.6.5.3,P-SE.6.c,Emotional Regulation Skill,,,,,,- Shows calmness by taking deep breaths when upset.
Label,3.6.6,,PreK Learning Outcomes (2020 Edition) (PreK 48-60) Learning Outcome,,,,,,
Standard,3.6.6.1,II.B.1,Expresses emotions,,,,PK,,"- Shows feelings with smiles, cries, or giggles."
Developmental Milestones,3.6.6.2,II.B.1.a,Identifies and Names Different Emotions,,,,PK,,- Points to pictures and says names of feelings like happy or sad.
Developmental Milestones,3.6.6.3,II.B.1.b,Demonstrates Appropriate Emotional Response,,,,PK,,Shows feelings through facial expressions and sounds.
Developmental Milestones,3.6.6.4,II.B.1.c,Understands and Shows Empathy,,,,PK,,Shows care by comforting a friend who is upset.
Standard,3.6.6.5,II.B.4,Recognizes emotions in others,,,,PK,,- Smiles or frowns when seeing others' happy or sad faces.
Developmental Milestones,3.6.6.6,II.B.4.c,Observes Behavioral Changes,,,,PK,,- Notices when people or things act differently.
Developmental Milestones,3.6.6.7,II.B.4.b,Comprehends Tone of Voice,,,,PK,,Responds to different tones of voice.
Developmental Milestones,3.6.6.8,II.B.4.a,Identifies Facial Expressions,,,,PK,,- Points to happy and sad faces.
Developmental Milestones,3.6.6.9,II.B.1.d,Can use verbal and nonverbal communication to express emotions,,,,PK,,Shows feelings by using words or gestures.
Standard,3.6.6.10,II.B.2,Communicates feelings,,,,PK,,- Shows feelings through facial expressions or sounds.
Developmental Milestones,3.6.6.11,II.B.2.a,Expresses emotions appropriately,,,,PK,,- Shows feelings through facial expressions and sounds.
Developmental Milestones,3.6.6.12,II.B.2.b,Recognizes and identifies emotions,,,,PK,,- Points to pictures of happy or sad faces in a book.
Developmental Milestones,3.6.6.13,II.B.2.c,Practices emotional self-regulation,,,,PK,,- Calms down with a favorite toy or song.
Standard,3.7,SE.7,Child expresses care and concern toward others,,,,,,Shows kindness by hugging or comforting others.
Label,3.7.1,,Infants (INF 0-8) Learning Outcome,,,,,,
Developmental Milestones,3.7.1.1,,Watches a crying peer with interest,,,,,,- Looks at a crying friend.
Label,3.7.2,,Infants (INF 8-18) Learning Outcome,,,,,,
