Human Coding Scheme,Full Statement,Type,Smart Level
"one solution to a problem (e.g., using packing tape with strings to hold cardboard pieces together when masking tape doesn’t work) (APL3.5s)23 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsEarly Preschool,Developmental Indicator,22-36
"one solution to a problem (e.g., using packing tape with strings to hold cardboard pieces together when masking tape doesn’t work) (APL3.5s)23 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",monthsLater Preschool,Developmental Indicator,34-48
"one solution to a problem (e.g., using packing tape with strings to hold cardboard pieces together when masking tape doesn’t work) (APL3.5s)23 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",months,Developmental Indicator,44-60
"one solution to a problem (e.g., using packing tape with strings to hold cardboard pieces together when masking tape doesn’t work) (APL3.5s)23 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Responds to caregivers’,Indicator,
"one solution to a problem (e.g., using packing tape with strings to hold cardboard pieces together when masking tape doesn’t work) (APL3.5s)23 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Follows simple,Indicator,
"one solution to a problem (e.g., using packing tape with strings to hold cardboard pieces together when masking tape doesn’t work) (APL3.5s)23 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Becomes familiar with,Indicator,
"one solution to a problem (e.g., using packing tape with strings to hold cardboard pieces together when masking tape doesn’t work) (APL3.5s)23 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Uses classroom,Indicator,
"one solution to a problem (e.g., using packing tape with strings to hold cardboard pieces together when masking tape doesn’t work) (APL3.5s)23 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)",Uses classroom,Indicator,
"one solution to a problem (e.g., using packing tape with strings to hold cardboard pieces together when masking tape doesn’t work) (APL3.5s)23 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA ONE: APPROACHES TO PLA Y AND LEARNING (APL)","Manages actions,",Indicator,
• SED3.4. Solving social interaction problems25 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsLater Infancy,Developmental Indicator,0-8
• SED3.4. Solving social interaction problems25 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsEarly Toddler,Developmental Indicator,6-14
• SED3.4. Solving social interaction problems25 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsLater Toddler,Developmental Indicator,12-24
• SED3.4. Solving social interaction problems25 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsEarly Preschool,Developmental Indicator,22-36
• SED3.4. Solving social interaction problems25 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsLater Preschool,Developmental Indicator,34-48
• SED3.4. Solving social interaction problems25 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),months,Developmental Indicator,44-60
• SED3.4. Solving social interaction problems25 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Learns about self by,Indicator,
• SED3.4. Solving social interaction problems25 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Turns to familiar voice,Indicator,
• SED3.4. Solving social interaction problems25 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Displays personal,Indicator,
• SED3.4. Solving social interaction problems25 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Discovers how,Indicator,
• SED3.4. Solving social interaction problems25 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Uses own first name,Indicator,
• SED3.4. Solving social interaction problems25 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Describes own physical,Indicator,
• SED3.4. Solving social interaction problems25 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Indicates likes and,Indicator,
• SED3.4. Solving social interaction problems25 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Uses own first and,Indicator,
• SED3.4. Solving social interaction problems25 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Describes their physical,Indicator,
• SED3.4. Solving social interaction problems25 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Positively identifies self,Indicator,
• SED3.4. Solving social interaction problems25 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Shares other,Indicator,
• SED3.4. Solving social interaction problems25 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Describes a larger,Indicator,
range of individual characteristics and interests and communicates how these are similar or different from those of other people (SED1.1q)26 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsLater Infancy,Developmental Indicator,0-8
range of individual characteristics and interests and communicates how these are similar or different from those of other people (SED1.1q)26 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsEarly Toddler,Developmental Indicator,6-14
range of individual characteristics and interests and communicates how these are similar or different from those of other people (SED1.1q)26 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsLater Toddler,Developmental Indicator,12-24
range of individual characteristics and interests and communicates how these are similar or different from those of other people (SED1.1q)26 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsEarly Preschool,Developmental Indicator,22-36
range of individual characteristics and interests and communicates how these are similar or different from those of other people (SED1.1q)26 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsLater Preschool,Developmental Indicator,34-48
range of individual characteristics and interests and communicates how these are similar or different from those of other people (SED1.1q)26 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),months,Developmental Indicator,44-60
range of individual characteristics and interests and communicates how these are similar or different from those of other people (SED1.1q)26 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Smiles or is comforted,Indicator,
range of individual characteristics and interests and communicates how these are similar or different from those of other people (SED1.1q)26 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Begins to recognize,Indicator,
range of individual characteristics and interests and communicates how these are similar or different from those of other people (SED1.1q)26 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Expresses likes and,Indicator,
range of individual characteristics and interests and communicates how these are similar or different from those of other people (SED1.1q)26 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Demonstrates new,Indicator,
range of individual characteristics and interests and communicates how these are similar or different from those of other people (SED1.1q)26 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Shows positive self-,Indicator,
range of individual characteristics and interests and communicates how these are similar or different from those of other people (SED1.1q)26 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Exhibits confidence in,Indicator,
their accomplishments (SED1.2k)27 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsLater Infancy,Developmental Indicator,0-8
their accomplishments (SED1.2k)27 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsEarly Toddler,Developmental Indicator,6-14
their accomplishments (SED1.2k)27 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsLater Toddler,Developmental Indicator,12-24
their accomplishments (SED1.2k)27 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsEarly Preschool,Developmental Indicator,22-36
their accomplishments (SED1.2k)27 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsLater Preschool,Developmental Indicator,34-48
their accomplishments (SED1.2k)27 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),months,Developmental Indicator,44-60
their accomplishments (SED1.2k)27 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Uses facial expressions,Indicator,
their accomplishments (SED1.2k)27 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Relies on familiar adults,Indicator,
their accomplishments (SED1.2k)27 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Relies on familiar adults,Indicator,
their accomplishments (SED1.2k)27 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Asks for help from,Indicator,
their accomplishments (SED1.2k)27 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Asks for help from,Indicator,
their accomplishments (SED1.2k)27 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Knows and states,Indicator,
their accomplishments (SED1.2k)27 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Asks for help from,Indicator,
their accomplishments (SED1.2k)27 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Attempts to complete,Indicator,
their accomplishments (SED1.2k)27 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Asks for support from,Indicator,
adults only when needed  (SED1.3n)28 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsLater Infancy,Developmental Indicator,0-8
adults only when needed  (SED1.3n)28 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsEarly Toddler,Developmental Indicator,6-14
adults only when needed  (SED1.3n)28 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsLater Toddler,Developmental Indicator,12-24
adults only when needed  (SED1.3n)28 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsEarly Preschool,Developmental Indicator,22-36
adults only when needed  (SED1.3n)28 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),monthsLater Preschool,Developmental Indicator,34-48
adults only when needed  (SED1.3n)28 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),months,Developmental Indicator,44-60
adults only when needed  (SED1.3n)28 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),"Watches, observes, and",Indicator,
adults only when needed  (SED1.3n)28 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Responds to,Indicator,
adults only when needed  (SED1.3n)28 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Begins to have a,Indicator,
adults only when needed  (SED1.3n)28 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Recognizes and labels,Indicator,
adults only when needed  (SED1.3n)28 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED),Communicates how,Indicator,
"other children or adults may be feeling and why (e.g., states that a peer is sad because their toy was taken away) (SED2.1j)29 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsLater Infancy,Developmental Indicator,0-8
"other children or adults may be feeling and why (e.g., states that a peer is sad because their toy was taken away) (SED2.1j)29 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsEarly Toddler,Developmental Indicator,6-14
"other children or adults may be feeling and why (e.g., states that a peer is sad because their toy was taken away) (SED2.1j)29 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsLater Toddler,Developmental Indicator,12-24
"other children or adults may be feeling and why (e.g., states that a peer is sad because their toy was taken away) (SED2.1j)29 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsEarly Preschool,Developmental Indicator,22-36
"other children or adults may be feeling and why (e.g., states that a peer is sad because their toy was taken away) (SED2.1j)29 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",monthsLater Preschool,Developmental Indicator,34-48
"other children or adults may be feeling and why (e.g., states that a peer is sad because their toy was taken away) (SED2.1j)29 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",months,Developmental Indicator,44-60
"other children or adults may be feeling and why (e.g., states that a peer is sad because their toy was taken away) (SED2.1j)29 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Expresses feelings,Indicator,
"other children or adults may be feeling and why (e.g., states that a peer is sad because their toy was taken away) (SED2.1j)29 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Recognizes and,Indicator,
"other children or adults may be feeling and why (e.g., states that a peer is sad because their toy was taken away) (SED2.1j)29 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)","Names some emotions,",Indicator,
"other children or adults may be feeling and why (e.g., states that a peer is sad because their toy was taken away) (SED2.1j)29 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Uses movement or,Indicator,
"other children or adults may be feeling and why (e.g., states that a peer is sad because their toy was taken away) (SED2.1j)29 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Begins to express,Indicator,
"other children or adults may be feeling and why (e.g., states that a peer is sad because their toy was taken away) (SED2.1j)29 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Begins to recognize,Indicator,
"other children or adults may be feeling and why (e.g., states that a peer is sad because their toy was taken away) (SED2.1j)29 VIRGINIA BOARD OF EDUCATION | doe.virginia.govAREA TWO: SOCIAL AND EMOTIONAL DEVELOPMENT (SED)",Uses words and,Indicator,
